week,sentiment
1988-02-22/1988-02-28,0.16618
1988-02-29/1988-03-06,0.23468571428571425
1988-03-07/1988-03-13,0.0
1988-03-14/1988-03-20,0.4215
1988-03-21/1988-03-27,0.47515
1988-03-28/1988-04-03,0.4588
1988-04-04/1988-04-10,0.05046666666666666
1988-04-11/1988-04-17,0.26335
1988-04-18/1988-04-24,0.18656666666666666
1988-04-25/1988-05-01,0.2293333333333333
1988-05-09/1988-05-15,-0.5574
1988-05-16/1988-05-22,0.2294
1988-05-23/1988-05-29,0.5495
1988-05-30/1988-06-05,0.3544
1988-06-06/1988-06-12,0.30983333333333335
1988-06-13/1988-06-19,0.143225
1988-06-20/1988-06-26,0.5267
1988-06-27/1988-07-03,0.409
1988-07-04/1988-07-10,0.05046666666666666
1988-07-11/1988-07-17,0.6436999999999999
1988-07-25/1988-07-31,-0.05930000000000002
1988-08-01/1988-08-07,0.8286
1988-08-08/1988-08-14,0.25889999999999996
1988-08-15/1988-08-21,0.195425
1988-08-22/1988-08-28,0.050449999999999995
1988-09-05/1988-09-11,-0.03635000000000005
1988-09-12/1988-09-18,0.7003
1988-09-19/1988-09-25,0.31782
1988-09-26/1988-10-02,-0.0954
1988-10-03/1988-10-09,0.57955
1988-10-10/1988-10-16,0.162675
1988-10-17/1988-10-23,0.38835
1988-10-24/1988-10-30,0.4588
1988-10-31/1988-11-06,0.29955
1988-11-07/1988-11-13,0.12006666666666665
1988-11-14/1988-11-20,0.7003
1988-11-21/1988-11-27,0.11459999999999998
1988-11-28/1988-12-04,0.47409999999999997
1988-12-05/1988-12-11,0.8286
1988-12-12/1988-12-18,0.20056666666666667
1988-12-19/1988-12-25,0.0
1988-12-26/1989-01-01,0.007339999999999969
1989-01-02/1989-01-08,0.4588
1989-01-09/1989-01-15,0.25
1989-01-16/1989-01-22,0.357575
1989-01-23/1989-01-29,0.21075
1989-02-06/1989-02-12,0.2558
1989-02-13/1989-02-19,-0.5994
1989-02-20/1989-02-26,0.401325
1989-02-27/1989-03-05,0.4588
1989-03-06/1989-03-12,-0.5574
1989-03-13/1989-03-19,0.024033333333333313
1989-03-20/1989-03-26,0.50288
1989-03-27/1989-04-02,0.4588
1989-04-03/1989-04-09,0.3143666666666666
1989-04-10/1989-04-16,0.3863666666666667
1989-04-17/1989-04-23,-0.5574
1989-05-01/1989-05-07,-0.5994
1989-05-08/1989-05-14,0.26335
1989-05-15/1989-05-21,0.4697
1989-05-22/1989-05-28,0.5696333333333333
1989-05-29/1989-06-04,0.05046666666666666
1989-06-05/1989-06-11,-0.5574
1989-06-12/1989-06-18,0.7003
1989-06-19/1989-06-25,0.2727
1989-07-03/1989-07-09,0.21239999999999998
1989-07-10/1989-07-16,0.47515
1989-07-17/1989-07-23,-0.04686666666666669
1989-07-24/1989-07-30,0.8286
1989-07-31/1989-08-06,0.03363333333333333
1989-08-07/1989-08-13,0.6436999999999999
1989-08-14/1989-08-20,0.44015
1989-08-21/1989-08-27,-0.1537
1989-08-28/1989-09-03,0.4916333333333333
1989-09-04/1989-09-10,0.6436999999999999
1989-09-11/1989-09-17,-0.11646666666666668
1989-09-18/1989-09-24,0.7003
1989-09-25/1989-10-01,-0.04930000000000001
1989-10-02/1989-10-08,0.0
1989-10-09/1989-10-15,-0.06795000000000001
1989-10-16/1989-10-22,0.6046999999999999
1989-10-23/1989-10-29,0.4697
1989-10-30/1989-11-05,0.032649999999999985
1989-11-06/1989-11-12,0.25
1989-11-20/1989-11-26,0.32849999999999996
1989-11-27/1989-12-03,0.34825
1989-12-04/1989-12-10,-0.08895000000000003
1989-12-11/1989-12-17,0.40447500000000003
1989-12-18/1989-12-24,0.5267
